City,25_years,20_years,15_years,10_years,5_years,1_year,6_months,3_months,1_month,clusters_k4
Point Reyes Station,2.7288,1.3372,0.6289,1.0779,0.4647,0.1901,0.0946,0.0428,0.0114,3
Antioch,2.7989,1.6029,0.1567,1.1399,0.4461,0.0742,0.063,0.0282,0.0132,3
Discovery Bay,2.8125,1.7011,0.5075,1.4962,0.3408,0.0948,0.0781,0.0379,0.0153,3
Oakley,2.871,1.8465,0.3274,1.3753,0.365,0.0939,0.0782,0.0517,0.0214,3
Richmond,2.9433,1.8657,0.3264,1.4214,0.5662,0.1174,0.0881,0.0382,0.0168,3
El Sobrante,3.0259,1.6112,0.3783,1.2193,0.662,0.0986,0.1029,0.0518,0.0236,3
San Martin,3.1097,1.0612,0.3774,0.9561,0.4157,0.2219,0.1209,0.0545,0.0164,3
Brentwood,3.153,1.7873,0.3184,1.5699,0.3248,0.0955,0.0811,0.0376,0.0161,3
Morgan Hill,3.1567,1.2759,0.5144,1.0219,0.3711,0.1588,0.0872,0.0376,0.0103,3
San Leandro,3.2297,1.7071,0.4229,1.2184,0.4127,0.116,0.0847,0.0372,0.0078,3
Castro Valley,3.2976,1.6667,0.4994,0.9704,0.325,0.1136,0.0879,0.039,0.0087,3
Hayward,3.3865,1.6501,0.3965,1.2736,0.3984,0.1072,0.0839,0.0372,0.0085,3
Pinole,3.4943,1.9823,0.3763,0.9551,0.3091,0.1087,0.1029,0.0492,0.0204,3
Moraga,3.6002,1.9002,0.5852,1.0023,0.2825,0.112,0.0816,0.0381,0.0172,3
San Jose,3.7172,1.5448,0.7178,1.0713,0.3786,0.1258,0.0699,0.0264,0.0058,3
San Lorenzo,3.7389,1.9064,0.481,1.3006,0.4233,0.1087,0.0792,0.0325,0.007,3
Concord,3.9227,2.1061,0.4254,1.1479,0.2841,0.104,0.0819,0.0341,0.0124,3
Milpitas,4.0003,1.729,0.8286,1.2669,0.4577,0.1514,0.0805,0.0314,0.0066,3
Lafayette,4.0041,2.0509,0.5874,1.0763,0.4216,0.1041,0.0856,0.0345,0.0156,3
Union City,4.0289,1.8305,0.6371,1.3113,0.4024,0.1062,0.0889,0.041,0.0093,3
Newark,4.1643,1.9335,0.6874,1.3733,0.388,0.0858,0.0739,0.0316,0.0066,3
East Foothills,4.3102,1.7573,0.713,0.9698,0.4084,0.0985,0.0756,0.0406,0.0156,3
Bethel Island,4.6024,2.6567,0.6786,1.7967,0.5775,0.2006,0.1262,0.0652,0.0228,3
Saratoga,4.6455,1.8233,1.1932,1.2342,0.3911,0.1638,0.0851,0.0367,0.0086,3
Pleasant Hill,4.777,2.1606,0.5205,1.3877,0.4668,0.0932,0.0733,0.0319,0.0141,3
Martinez,5.3778,2.6691,0.7042,1.3303,0.2924,0.111,0.0834,0.0346,0.0145,3
