City,25_years,20_years,15_years,10_years,5_years,1_year,6_months,3_months,1_month,clusters_k4
South San Francisco,3.6452,1.6548,0.5661,1.1508,0.3552,0.0498,0.0335,0.015,0.0021,2
Tiburon,3.8526,1.6978,0.8418,1.1749,0.4357,0.1105,0.0428,0.0098,0.0039,2
Brisbane,3.894,1.6547,0.6128,1.053,0.3338,0.0699,0.0406,0.0244,0.0058,2
San Bruno,3.903,1.7619,0.6358,1.1603,0.3264,0.0441,0.0408,0.0187,0.0015,2
Redwood City,3.9669,1.5674,0.8034,1.1875,0.2317,0.0439,0.0405,0.0202,0.0028,2
Belmont,4.02,1.6177,0.887,1.2514,0.2048,0.0534,0.0466,0.0209,0.004,2
Foster City,4.0383,1.6868,0.8609,1.1377,0.2165,0.0439,0.0379,0.0175,0.0024,2
Los Altos,4.0547,1.6173,0.9985,1.0835,0.3585,0.1294,0.0676,0.0244,0.0058,2
Alameda,4.3603,2.2732,0.9205,1.2283,0.3367,0.0617,0.0562,0.0245,0.0052,2
San Mateo,4.3648,1.8391,0.8884,1.3125,0.2542,0.0371,0.0349,0.017,0.0022,2
San Carlos,4.4326,1.8098,0.9943,1.381,0.2303,0.0509,0.0402,0.0177,0.0025,2
Menlo Park,4.4855,1.7598,1.0433,1.2376,0.1652,0.0145,0.025,0.0157,0.0019,2
Albany,4.5278,2.2337,0.8445,1.12,0.3148,0.0853,0.0636,0.0244,0.0045,2
Campbell,4.5379,1.7803,0.955,1.0677,0.3325,0.0895,0.0583,0.0174,0.0027,2
Santa Clara,4.6622,1.8862,0.9952,1.2473,0.3976,0.0933,0.0528,0.0134,0.0017,2
Fremont,4.6751,2.1223,0.9026,1.2761,0.3655,0.0702,0.0651,0.031,0.0062,2
Burlingame,4.734,2.0371,1.1239,1.4074,0.2769,0.037,0.0372,0.0151,-0.0005,2
Sunnyvale,4.7807,1.9345,1.0967,1.3577,0.3814,0.1016,0.0547,0.0149,0.0028,2
Cupertino,4.8542,2.0,1.2927,1.1782,0.3175,0.1289,0.0723,0.0264,0.0059,2
Mountain View,4.9334,2.0335,1.2223,1.2802,0.3328,0.1013,0.0429,0.0072,-0.0012,2
Oakland,4.9877,2.6474,0.9577,1.4995,0.4456,0.0774,0.0623,0.0265,0.0053,2
Berkeley,5.4246,2.6711,1.2055,1.4759,0.4371,0.0616,0.055,0.027,0.0073,2
El Cerrito,5.7699,2.8422,0.942,1.5217,0.6006,0.0909,0.0637,0.0237,0.0107,2
Atherton,7.528,2.628,1.714,1.9401,0.3762,0.0169,0.0123,-0.0004,-0.0045,2
Ross,8.4365,4.1925,2.3727,2.1509,0.663,0.1631,0.0613,0.0301,0.0102,2
